"parentid","Containing Folder"
"classname","Allowed class"
"methodname","Method"
"dynamicDropdown_settings","Source settings"
"dynamicDropdownMultiple_settings","Source settings"
"dynamicDropdown","Dynamic Dropdown"
"dynamicDropdownMultiple","Dynamic Dropdown (multiselect)"
"recursive", "Recursive"
"Sort by", "Sort by"
"id", "ID"
"value", "Wert"
"itemselector", "Itemselector"
"itemselector_settings", "Itemselector settings"
"itemselector_available", "Available"
"itemselector_selected", "Selected"
"superboxselect", "Superbox Select"
"superboxselect_settings", "Superbox Select settings"
"choose_tags", "Choose tags"
"error_loading_options", "Fehler beim Laden der Options"
